type,parent_1,parent_2,result,notes
family,slime,slime,slime,同系統同士は上位種
family,slime,beast,beast,獣寄りの結果
family,slime,bird,bird,鳥寄りの結果
family,slime,plant,plant,植物寄りの結果
family,slime,magic,magic,魔法寄りの結果
family,slime,material,material,物質寄りの結果
family,slime,undead,undead,アンデッド寄りの結果
family,slime,dragon,dragon,竜寄りの結果
family,beast,beast,beast,同系統同士は上位種
family,beast,bird,bird,鳥寄りの結果
family,beast,plant,beast,獣寄りの結果
family,beast,magic,magic,魔法寄りの結果
family,beast,material,material,物質寄りの結果
family,beast,undead,undead,アンデッド寄りの結果
family,beast,dragon,dragon,竜寄りの結果
family,bird,bird,bird,同系統同士は上位種
family,bird,plant,plant,植物寄りの結果
family,bird,magic,magic,魔法寄りの結果
family,bird,material,bird,鳥寄りの結果
family,bird,undead,undead,アンデッド寄りの結果
family,bird,dragon,dragon,竜寄りの結果
family,plant,plant,plant,同系統同士は上位種
family,plant,magic,magic,魔法寄りの結果
family,plant,material,plant,植物寄りの結果
family,plant,undead,undead,アンデッド寄りの結果
family,plant,dragon,dragon,竜寄りの結果
family,magic,magic,magic,同系統同士は上位種
family,magic,material,material,物質寄りの結果
family,magic,undead,undead,アンデッド寄りの結果
family,magic,dragon,dragon,竜寄りの結果
family,material,material,material,同系統同士は上位種
family,material,undead,undead,アンデッド寄りの結果
family,material,dragon,dragon,竜寄りの結果
family,undead,undead,undead,同系統同士は上位種
family,undead,dragon,dragon,竜寄りの結果
family,dragon,dragon,dragon,同系統同士は上位種
special,009,053,097,キングレオ+ユニコーン=グリフォン
special,040,035,088,エルダードラゴン+リッチ=カオスドラゴン
special,042,041,043,ホーリードラゴン+ダークドラゴン=フレイムロード
special,040,094,044,エルダードラゴン+アイスゴーレム=フロストエンペラー
special,039,058,045,サンダードラゴン+ロック=サンダーゴッド
special,105,064,046,タイタン+エンシェントツリー=ガイアガーディアン
special,088,035,047,カオスドラゴン+リッチ=ヴォイドマスター
special,003,002,075,キングスライミール+メタスライム=ダイヤモンドスライム
special,007,010,101,グリズラー+サーベルタイガー=ミノタウロス
special,012,116,058,フェニクロウ+ガルーダ=ロック
special,027,077,105,ゴーレム+マグマゴーレム=タイタン
special,034,025,035,ヴァンパイア+ネクロマンサー=リッチ
special,024,072,100,アークウィザード+プリズムメイジ=セラフ
special,037,085,104,ファイアドレイク+シーサーペント=リヴァイアサン
special,052,092,009,ヘルハウンド+ケルベロス=キングレオ(別ルート)
special,017,019,064,トレント+ワールドツリー=エンシェントツリー(別ルート)
special,066,067,068,ファイアエレメント+ウォーターエレメント=アースエレメント
special,068,069,072,アースエレメント+ウィンドエレメント=プリズムメイジ(別ルート)
special,086,111,041,スカルドラゴン+ドラゴンゾンビ=ダークドラゴン(別ルート)
special,087,042,040,ミスリルドラゴン+ホーリードラゴン=エルダードラゴン(別ルート)
special,001,114,003,スライミール+エンジェルスライム=キングスライミール(別ルート)
special,050,120,003,スライムナイト+マザースライム=キングスライミール(別ルート2)
special,096,010,092,キメラ+サーベルタイガー=ケルベロス
special,057,102,015,ハーピー+メデューサ=ダークレイヴン
special,006,055,008,ウルフファング+フォレストウルフ=ワイルドホーン
special,021,022,024,ファイアウィザード+アイスメイジ=アークウィザード(別ルート)
special,033,079,081,ゴースト+バンシー=スペクター
special,080,036,111,デュラハン+デスナイト=ドラゴンゾンビ
special,073,028,031,ブロンズゴーレム+アイアンナイト=リビングアーマー
special,031,112,029,リビングアーマー+ゴールドゴーレム=クリスタルキング
special,016,061,063,マンドレイク+キノコマスター=ラフレシアクイーン
special,098,115,071,ウィスプ+ピクシー=ホーリーセイント
special,011,013,014,スカイホーク+サンダーウイング=ストームイーグル
special,083,108,037,ベビードラゴン+サラマンダー=ファイアドレイク
special,083,084,038,ベビードラゴン+ワイバーン=フロストワイバーン
special,037,038,039,ファイアドレイク+フロストワイバーン=サンダードラゴン
special,103,085,104,クラーケン+シーサーペント=リヴァイアサン(別ルート)
special,099,025,047,デーモン+ネクロマンサー=ヴォイドマスター(別ルート低確率)
