id,name_jp,name_en,family,element,rank,size,base_hp,base_mp,base_atk,base_def,base_spd,base_int,base_res,growth_type,skill_tree_1,skill_tree_2,skill_tree_3,description
001,スライミール,Slimeel,slime,none,E,small,45,20,12,15,10,8,12,early,ヒールスライム,,,"最も基本的なスライム。まんまるで愛嬌がある"
002,メタスライム,Metaslime,slime,none,E,small,8,30,5,99,60,15,99,late,メタルボディ,,,"硬い金属の体を持つ希少種。経験値が高い"
003,キングスライミール,King Slimeel,slime,none,B,large,180,80,60,70,30,50,60,normal,ヒールスライム,きあい,,"スライムの王。威厳ある佇まい"
004,ファイアジェル,Firejel,slime,fire,D,medium,60,35,20,20,15,30,15,early,ほのお,,,"炎を宿したスライム。体が赤く燃えている"
005,アイスジェル,Icejel,slime,water,D,medium,55,40,15,25,12,35,20,early,ひょうが,,,"氷のスライム。触れると凍りつく"
006,ウルフファング,Wolffang,beast,none,D,medium,70,15,35,20,30,10,10,normal,かみつき,,,"素早い狼型モンスター"
007,グリズラー,Grizzler,beast,none,C,medium,120,10,55,40,15,8,15,late,ちからため,かみつき,,"巨大な熊。攻撃力が非常に高い"
008,ワイルドホーン,Wildhorn,beast,wind,C,medium,90,20,45,30,40,15,12,normal,とっしん,かぜ,,"角を持つ突進型の獣"
009,キングレオ,King Leo,beast,none,A,large,200,30,90,60,50,20,25,late,おうじゃ,かみつき,きあい,"獣の王。圧倒的な攻撃力"
010,サーベルタイガー,Saber Tiger,beast,none,B,large,150,15,75,45,55,12,18,normal,かみつき,とっしん,,"鋭い牙を持つ虎型モンスター"
011,スカイホーク,Skyhawk,bird,wind,D,medium,50,25,25,15,45,20,15,early,かぜ,,,"風を操る鷹"
012,フェニクロウ,Phenicrow,bird,fire,B,large,130,60,50,35,55,55,40,normal,ほのお,かぜ,,"炎の翼を持つ不死鳥の幼体"
013,サンダーウイング,Thunderwing,bird,thunder,C,medium,80,40,35,25,60,40,25,early,いなずま,かぜ,,"雷をまとう翼竜"
014,ストームイーグル,Storm Eagle,bird,wind,A,large,160,50,65,40,75,45,35,normal,かぜ,きあい,とっしん,"嵐を呼ぶ巨鷹の王"
